,data_time,site_name,nh3n_avg,tp_avg,do_avg,codcr_avg,codmn_avg,rainfall,next_rain
191,2019-08-01 00:00:00,鲁岗涌,0.62,0.224,8.68,,4.1,0.0,0.0
573,2019-08-01 04:00:00,鲁岗涌,0.52,0.173,4.9,,1.7,0.0,0.0
574,2019-08-01 08:00:00,鲁岗涌,0.47,0.191,8.77,,2.1,0.0,2.8
477,2019-08-01 12:00:00,鲁岗涌,0.5,0.202,5.52,,1.8,2.8,0.0
287,2019-08-01 16:00:00,鲁岗涌,0.81,0.183,8.88,,1.5,0.0,0.0
1152,2019-08-01 20:00:00,鲁岗涌,0.55,0.202,8.84,,1.8,0.0,0.1
192,2019-08-02 00:00:00,鲁岗涌,0.58,0.225,4.67,,2.8,0.1,0.3
1247,2019-08-02 04:00:00,鲁岗涌,0.56,0.215,8.98,,2.4,0.3,0.0
1248,2019-08-02 08:00:00,鲁岗涌,0.55,0.216,5.27,,3.0,0.0,0.0
288,2019-08-02 12:00:00,鲁岗涌,0.55,0.216,6.01,,2.9,0.0,0.1
1153,2019-08-02 16:00:00,鲁岗涌,0.65,0.191,8.65,,1.9,0.1,0.0
575,2019-08-02 20:00:00,鲁岗涌,0.56,0.227,5.2,,2.0,0.0,0.0
478,2019-08-03 00:00:00,鲁岗涌,0.77,0.286,4.32,,3.5,0.0,0.0
479,2019-08-03 04:00:00,鲁岗涌,0.68,0.205,8.95,,2.5,0.0,0.0
576,2019-08-03 08:00:00,鲁岗涌,0.7,0.223,9.06,,3.3,0.0,0.0
0,2019-08-03 12:00:00,鲁岗涌,0.8,0.281,8.93,,3.5,0.0,0.0
94,2019-08-03 16:00:00,鲁岗涌,0.67,0.194,4.44,,2.8,0.0,0.0
1054,2019-08-03 20:00:00,鲁岗涌,0.7,0.176,8.4,,2.8,0.0,0.0
381,2019-08-04 00:00:00,鲁岗涌,0.55,0.193,8.94,,2.9,0.0,0.0
862,2019-08-04 04:00:00,鲁岗涌,0.64,0.173,8.99,,2.7,0.0,0.0
382,2019-08-04 08:00:00,鲁岗涌,0.68,0.196,4.0,,2.1,0.0,0.0
193,2019-08-04 12:00:00,鲁岗涌,0.68,0.196,8.03,,2.3,0.0,0.0
1154,2019-08-04 16:00:00,鲁岗涌,0.65,0.198,4.29,,2.5,0.0,0.0
1,2019-08-04 20:00:00,鲁岗涌,0.73,0.175,8.77,,2.2,0.0,0.0
863,2019-08-05 00:00:00,鲁岗涌,0.63,0.202,4.05,,2.8,0.0,0.0
95,2019-08-05 04:00:00,鲁岗涌,0.56,0.232,4.26,,2.1,0.0,0.0
864,2019-08-05 08:00:00,鲁岗涌,0.49,0.179,8.85,,2.1,0.0,0.0
957,2019-08-05 12:00:00,鲁岗涌,0.48,0.219,8.74,,2.3,0.0,
289,2019-08-05 16:00:00,鲁岗涌,0.5,0.216,8.57,,2.6,,0.0
290,2019-08-05 20:00:00,鲁岗涌,0.47,0.168,8.73,,2.0,0.0,0.0
958,2019-08-06 00:00:00,鲁岗涌,0.48,0.187,3.79,,2.0,0.0,0.0
1155,2019-08-06 04:00:00,鲁岗涌,0.57,0.19,4.26,,2.7,0.0,0.0
766,2019-08-06 08:00:00,鲁岗涌,0.43,0.148,8.84,,2.0,0.0,0.0
1055,2019-08-06 12:00:00,鲁岗涌,0.43,0.148,6.38,,1.7,0.0,0.0
1249,2019-08-06 16:00:00,鲁岗涌,0.32,0.225,5.62,,1.7,0.0,0.0
480,2019-08-06 20:00:00,鲁岗涌,0.3,0.153,8.78,,1.3,0.0,0.0
767,2019-08-07 00:00:00,鲁岗涌,0.35,0.206,4.9,,2.8,0.0,0.0
768,2019-08-07 12:00:00,鲁岗涌,0.36,0.172,5.59,,2.9,0.0,0.0
959,2019-08-07 16:00:00,鲁岗涌,0.37,0.188,5.42,,3.8,0.0,0.2
481,2019-08-07 20:00:00,鲁岗涌,0.44,0.175,8.81,,2.5,0.2,0.0
577,2019-08-08 00:00:00,鲁岗涌,0.41,0.154,3.53,,2.7,0.0,0.0
96,2019-08-08 04:00:00,鲁岗涌,0.45,0.196,8.62,,3.4,0.0,0.0
1056,2019-08-08 08:00:00,鲁岗涌,0.38,0.156,4.95,,2.1,0.0,0.0
482,2019-08-08 12:00:00,鲁岗涌,0.38,0.156,7.95,,2.4,0.0,0.0
670,2019-08-08 16:00:00,鲁岗涌,0.29,0.185,6.06,,2.3,0.0,0.0
194,2019-08-08 20:00:00,鲁岗涌,0.34,0.139,8.38,,2.1,0.0,0.0
769,2019-08-09 00:00:00,鲁岗涌,0.34,0.146,5.05,,1.7,0.0,0.0
2,2019-08-09 04:00:00,鲁岗涌,0.3,0.192,5.29,,2.2,0.0,0.0
671,2019-08-09 08:00:00,鲁岗涌,0.34,0.174,4.94,,1.8,0.0,0.0
3,2019-08-09 12:00:00,鲁岗涌,0.36,0.141,5.86,,1.4,0.0,0.0
1057,2019-08-09 16:00:00,鲁岗涌,0.3,0.157,6.4,,1.9,0.0,0.0
1058,2019-08-09 20:00:00,鲁岗涌,0.91,0.22,4.18,,7.0,0.0,0.0
